public	account_deletion_cancel	p_user_id uuid	6c87d0f96428c22086589206ef1ed0d9
public	account_deletion_cancel_self		a7f64ce1fa37e17092e796d58d998abb
public	account_deletion_claim	p_owner text, p_limit integer, p_lease_seconds integer	19cb0bcffc6025ed1646bd3b1a54a0b7
public	account_deletion_forfeit_and_anonymize	p_user_id uuid	6f24f371518cde8a4346ae50ce94a411
public	account_deletion_latest_job_id	p_user_id uuid	0f7f00d35a20fff6cf97846893ae7b61
public	account_deletion_reclaim_expired		2eb49d27882b7e05eb3ba799117d4951
public	account_deletion_record_error	p_user_id uuid, p_error text, p_backoff_seconds integer, p_max_attempts integer	81f1fa8073e48a41df2f39a98c3f1fa6
public	account_deletion_request	p_user_id uuid, p_cancelable_minutes integer, p_dry_run boolean	7cefd90964536278cb2090739895d72d
public	account_deletion_request_consented	p_user_id uuid, p_cancelable_minutes integer, p_dry_run boolean, p_forfeit_consent boolean, p_acknowledged_balance_cents bigint	6c4a58ff7a78f39b432e8c73e11ba410
public	account_deletion_request_self	p_cancelable_minutes integer, p_dry_run boolean	934153a25ee3ece79b1e394caf3fbcc7
public	account_deletion_request_self_consented	p_cancelable_minutes integer, p_dry_run boolean, p_acknowledged_balance_cents bigint	8a146275e4c3d143ed189f91981a9dc1
public	account_deletion_request_self_consented_v2	p_acknowledged_balance_cents bigint	d709adf3770d06bebf7bebc1f4cca0b3
public	account_deletion_request_self_v2		f6834ec464f1e0a9606b5f205c775685
public	account_deletion_revoke_sessions	p_user_id uuid	8bc2f64268e87e0ab8f3c198df2c428c
public	account_deletion_self_response	p_user_id uuid, p_raw jsonb	b50e6898e5823aeaab9ed7f84b735269
public	account_deletion_status_self		bf4d31ff907ad92bb1e744b49553b6c7
public	account_deletion_storage_owner_refs	p_user_id uuid	f5af4f4588020166e944e885f27115c0
public	account_deletion_verify_object_owners	p_user_id uuid, p_refs jsonb	acfc40dfca096046e1f56f2148839fce
public	account_deletion_worker_claim	p_limit integer	528d11fb82a9b0c75a3eab2576f474b6
public	account_deletion_write_blocked	p_user_id uuid	e69b58ec1c439af3f39c22c355608304
public	account_deletion_write_guard		bbc94c6f2409a276a38f8086e675d994
public	add_individual_question_attachment	p_question_id uuid, p_storage_path text, p_file_name text, p_mime_type text, p_message_id uuid	58f0c2411d40b2ce3bcec23efa0c88a1
public	admin_issue_user_warning	p_user_id uuid, p_reason text, p_severity text	de2d5e39a33d4ea9603c599ca86fe8fe
public	anonymize_user_for_deletion	p_user_id uuid, p_reason text	5b203136cc3cf2377062bec09b6295ce
public	answer_individual_question	p_question_id uuid, p_body text	75a5c5cf8ebcbe5abcb359239ff6be55
public	approve_mentor_school_verification_admin	p_verification_id uuid, p_university_name text, p_university_id text, p_department_name text, p_major_category text, p_school_tier text	b4d4ebcd653ba8365511928e663c144b
